date,value
2024-01-22,396.51
2024-01-23,398.9
2024-01-24,402.56
2024-01-25,404.87
2024-01-26,403.93
2024-01-29,409.72
2024-01-30,408.59
2024-01-31,397.58
2024-02-01,403.78
2024-02-02,411.22
2024-02-05,405.65
2024-02-06,405.49
2024-02-07,414.05
2024-02-08,414.11
2024-02-09,420.55
2024-02-12,415.26
2024-02-13,406.32
2024-02-14,410.24
2024-02-15,407.3046
2024-02-16,404.8001
2024-02-20,403.5277
2024-02-21,402.9166
2024-02-22,412.404
2024-02-23,411.0916
2024-02-26,408.2864
2024-02-27,408.2263
2024-02-28,408.4668
2024-02-29,414.3976
2024-03-01,416.261
2024-03-04,415.6799
2024-03-05,403.3875
2024-03-06,402.8264
2024-03-07,409.8894
2024-03-08,406.964
2024-03-11,405.2609
2024-03-12,416.0406
2024-03-13,415.8603
2024-03-14,425.9988
2024-03-15,417.1827
2024-03-18,418.0843
2024-03-19,422.1818
2024-03-20,426.0088
2024-03-21,430.1564
2024-03-22,429.5253
2024-03-25,423.6345
2024-03-26,422.4223
2024-03-27,422.2019
2024-03-28,421.4906
2024-04-01,425.3476
2024-04-02,422.2119
2024-04-03,421.2201
2024-04-04,418.6454
2024-04-05,426.2994
2024-04-08,425.3677
2024-04-09,427.0608
2024-04-10,424.0352
2024-04-11,428.7138
2024-04-12,422.6727
2024-04-15,414.3976
2024-04-16,415.3393
2024-04-17,412.5943
2024-04-18,405.0104
2024-04-19,399.851
2024-04-22,401.6944
2024-04-23,408.3165
2024-04-24,409.8092
2024-04-25,399.7709
2024-04-26,407.0642
2024-04-29,402.9867
2024-04-30,390.0431
2024-05-01,395.6634
2024-05-02,398.5687
2024-05-03,407.4048
2024-05-06,414.2974
2024-05-07,410.0897
2024-05-08,411.2919
2024-05-09,413.0752
2024-05-10,415.4996
2024-05-13,414.4777
2024-05-14,417.3229
2024-05-15,424.6063
2024-05-16,422.5087
2024-05-17,421.7259
2024-05-20,426.8744
2024-05-21,430.5878
2024-05-22,432.0731
2024-05-23,428.5404
2024-05-24,431.7118
2024-05-28,431.8724
2024-05-29,430.7182
2024-05-30,416.1659
2024-05-31,416.6276
