date,value
2024-06-03,415.0118
2024-06-04,417.571
2024-06-05,425.5396
2024-06-06,426.0515
2024-06-07,425.379
2024-06-10,429.4135
2024-06-11,434.2409
2024-06-12,442.6511
2024-06-13,443.173
2024-06-14,444.1666
2024-06-17,449.9875
2024-06-18,447.9502
2024-06-20,447.3079
2024-06-21,451.4026
2024-06-24,449.285
2024-06-25,452.5768
2024-06-26,453.7912
2024-06-27,454.4837
2024-06-28,448.5624
2024-07-01,458.3777
2024-07-02,460.9369
2024-07-03,462.4322
2024-07-05,469.2467
2024-07-08,467.922
2024-07-09,461.1978
2024-07-10,467.932
2024-07-11,456.3403
2024-07-12,455.1862
2024-07-15,455.5977
2024-07-16,451.1416
2024-07-17,445.12
2024-07-18,441.9586
2024-07-19,438.6869
2024-07-22,444.5379
2024-07-23,446.4548
2024-07-24,430.4473
2024-07-25,419.9094
2024-07-26,426.8042
2024-07-29,428.2694
2024-07-30,424.4457
2024-07-31,419.8592
2024-08-01,418.6147
2024-08-02,409.9636
2024-08-05,396.5755
2024-08-06,401.0516
2024-08-07,399.8673
2024-08-08,404.1427
2024-08-09,407.4847
2024-08-12,408.2776
2024-08-13,415.5035
2024-08-14,418.3638
2024-08-15,423.3016
2024-08-16,420.7278
2024-08-19,423.8043
2024-08-20,427.0919
2024-08-21,426.4284
2024-08-22,417.792
2024-08-23,419.0387
2024-08-26,415.7209
2024-08-27,416.0728
2024-08-28,412.8153
2024-08-29,415.3489
2024-08-30,419.3906
2024-09-03,411.649
2024-09-04,411.1061
2024-09-05,410.5934
2024-09-06,403.8673
2024-09-09,407.909
2024-09-10,416.4347
2024-09-11,425.3224
2024-09-12,429.3038
2024-09-13,432.9132
2024-09-16,433.6672
2024-09-17,437.4978
2024-09-18,433.1343
2024-09-19,441.0569
2024-09-20,437.6184
2024-09-23,435.8489
2024-09-24,431.4855
2024-09-25,434.4414
2024-09-26,433.637
2024-09-27,430.3293
2024-09-30,432.6216
2024-10-01,422.9597
2024-10-02,419.3805
2024-10-03,418.7873
2024-10-04,418.3048
2024-10-07,411.7496
2024-10-08,416.9475
2024-10-09,419.7123
2024-10-10,418.0836
2024-10-11,418.5662
2024-10-14,421.4014
2024-10-15,420.9992
2024-10-16,418.3651
2024-10-17,418.9683
2024-10-18,420.4161
2024-10-21,421.0394
2024-10-22,429.8165
2024-10-23,426.8908
2024-10-24,427.0215
2024-10-25,430.46
2024-10-28,428.8916
2024-10-29,434.2805
2024-10-30,434.8636
2024-10-31,408.5424
2024-11-01,412.5841
2024-11-04,410.6638
2024-11-05,413.6799
2024-11-06,422.447
2024-11-07,427.7253
2024-11-08,424.8197
2024-11-11,420.2653
2024-11-12,425.3124
2024-11-13,427.4941
2024-11-14,429.1932
2024-11-15,417.239
2024-11-18,418.0031
2024-11-19,420.0441
2024-11-20,417.7317
2024-11-21,415.932
2024-11-22,420.0927
2024-11-25,421.8959
2024-11-26,431.1642
2024-11-27,426.1271
2024-11-29,426.6006
2024-12-02,434.1763
2024-12-03,434.398
2024-12-04,440.6641
2024-12-05,445.9027
2024-12-06,446.8597
2024-12-09,449.3279
2024-12-10,446.6179
2024-12-11,452.3199
2024-12-12,452.8941
2024-12-13,450.5872
2024-12-16,454.9392
2024-12-17,457.8305
2024-12-18,440.6339
2024-12-19,440.2712
2024-12-20,439.838
2024-12-23,438.478
2024-12-24,442.5883
2024-12-26,441.3592
2024-12-27,433.723
2024-12-30,427.9807
2024-12-31,424.626
2025-01-02,421.6844
2025-01-03,426.4898
2025-01-06,431.0231
2025-01-07,425.5025
2025-01-08,427.7087
2025-01-10,422.0571
2025-01-13,420.2841
2025-01-14,418.7528
2025-01-15,429.4717
2025-01-16,427.7289
2025-01-17,432.2119
2025-01-21,431.0181
