date,value
2024-01-22,193.89
2024-01-23,195.18
2024-01-24,194.5
2024-01-25,194.17
2024-01-26,192.42
2024-01-29,191.73
2024-01-30,188.04
2024-01-31,184.4
2024-02-01,186.86
2024-02-02,185.85
2024-02-05,187.68
2024-02-06,189.3
2024-02-07,189.41
2024-02-08,188.32
2024-02-09,189.09
2024-02-12,187.388
2024-02-13,185.275
2024-02-14,184.384
2024-02-15,184.094
2024-02-16,182.542
2024-02-20,181.791
2024-02-21,182.552
2024-02-22,184.604
2024-02-23,182.752
2024-02-26,181.39
2024-02-27,182.862
2024-02-28,181.651
2024-02-29,180.98
2024-03-01,179.888
2024-03-04,175.323
2024-03-05,170.336
2024-03-06,169.335
2024-03-07,169.215
2024-03-08,170.947
2024-03-11,172.97
2024-03-12,173.45
2024-03-13,171.347
2024-03-14,173.22
2024-03-15,172.839
2024-03-18,173.941
2024-03-19,176.304
2024-03-20,178.897
2024-03-21,171.588
2024-03-22,172.499
2024-03-25,171.067
2024-03-26,169.926
2024-03-27,173.53
2024-03-28,171.698
2024-04-01,170.246
2024-04-02,169.055
2024-04-03,169.866
2024-04-04,169.035
2024-04-05,169.796
2024-04-08,168.664
2024-04-09,169.886
2024-04-10,167.993
2024-04-11,175.262
2024-04-12,176.774
2024-04-15,172.909
2024-04-16,169.595
2024-04-17,168.214
2024-04-18,167.252
2024-04-19,165.21
2024-04-22,166.051
2024-04-23,167.112
2024-04-24,169.235
2024-04-25,170.106
2024-04-26,169.515
2024-04-29,173.72
2024-04-30,170.546
2024-05-01,169.515
2024-05-02,173.25
2024-05-03,183.613
2024-05-06,181.941
2024-05-07,182.632
2024-05-08,182.972
2024-05-09,184.805
2024-05-10,183.533
2024-05-13,186.771
2024-05-14,187.925
2024-05-15,190.221
2024-05-16,190.341
2024-05-17,190.371
2024-05-20,191.544
2024-05-21,192.857
2024-05-22,191.404
2024-05-23,187.373
2024-05-24,190.481
2024-05-28,190.491
2024-05-29,190.792
2024-05-30,191.795
2024-05-31,192.757
2024-06-03,194.542
2024-06-04,194.863
2024-06-05,196.387
2024-06-06,194.993
2024-06-07,197.409
2024-06-10,193.63
2024-06-11,207.697
2024-06-12,213.632
2024-06-13,214.805
2024-06-14,213.051
2024-06-17,217.242
2024-06-18,214.855
2024-06-20,210.233
2024-06-21,208.037
2024-06-24,208.689
2024-06-25,209.622
2024-06-26,213.813
2024-06-27,214.665
2024-06-28,211.176
2024-07-01,217.322
2024-07-02,220.851
2024-07-03,222.135
2024-07-05,226.937
2024-07-08,228.421
2024-07-09,229.283
2024-07-10,233.595
2024-07-11,228.17
2024-07-12,231.148
2024-07-15,235.018
2024-07-16,235.44
2024-07-17,229.484
2024-07-18,224.771
2024-07-19,224.902
2024-07-22,224.551
2024-07-23,225.604
2024-07-24,219.117
2024-07-25,218.064
2024-07-26,218.535
2024-07-29,218.816
2024-07-30,219.377
2024-07-31,222.666
2024-08-01,218.936
2024-08-02,220.44
2024-08-05,209.822
2024-08-06,207.777
2024-08-07,210.374
2024-08-08,213.873
2024-08-09,216.811
2024-08-12,218.355
2024-08-13,222.109
2024-08-14,222.56
2024-08-15,225.572
2024-08-16,226.907
2024-08-19,226.746
2024-08-20,227.369
2024-08-21,227.258
2024-08-22,225.381
2024-08-23,227.7
2024-08-26,228.041
2024-08-27,228.894
2024-08-28,227.349
2024-08-29,230.661
2024-08-30,229.868
2024-09-03,223.614
2024-09-04,221.687
2024-09-05,223.223
2024-09-06,221.657
2024-09-09,221.747
2024-09-10,220.944
2024-09-11,223.504
2024-09-12,223.614
2024-09-13,223.343
2024-09-16,217.14
2024-09-17,217.612
2024-09-18,221.527
2024-09-19,229.738
2024-09-20,229.065
2024-09-23,227.328
2024-09-24,228.232
2024-09-25,227.228
2024-09-26,228.382
2024-09-27,228.653
2024-09-30,233.883
2024-10-01,227.067
2024-10-02,227.64
2024-10-03,226.525
2024-10-04,227.66
2024-10-07,222.53
2024-10-08,226.626
2024-10-09,230.41
2024-10-10,229.908
2024-10-11,228.413
2024-10-14,232.177
2024-10-15,234.736
2024-10-16,232.659
2024-10-17,233.03
2024-10-18,235.891
2024-10-21,237.376
2024-10-22,236.754
2024-10-23,231.635
2024-10-24,231.444
2024-10-25,232.287
2024-10-28,234.285
2024-10-29,234.556
2024-10-30,230.972
2024-10-31,226.766
2024-11-01,223.755
2024-11-04,222.852
2024-11-05,224.297
2024-11-06,223.564
2024-11-07,228.342
2024-11-08,228.071
2024-11-11,225.328
2024-11-12,225.328
2024-11-13,226.222
2024-11-14,229.337
2024-11-15,226.102
2024-11-18,229.136
2024-11-19,229.398
2024-11-20,230.121
2024-11-21,229.639
2024-11-22,230.996
2024-11-25,234.01
2024-11-26,236.211
2024-11-27,236.08
2024-11-29,238.492
2024-12-02,240.763
2024-12-03,243.838
2024-12-04,244.2
2024-12-05,244.23
2024-12-06,244.029
2024-12-09,247.958
2024-12-10,248.983
2024-12-11,247.697
2024-12-12,249.174
2024-12-13,249.345
2024-12-16,252.269
2024-12-17,254.721
2024-12-18,249.265
2024-12-19,251.013
2024-12-20,255.736
2024-12-23,256.52
2024-12-24,259.464
2024-12-26,260.288
2024-12-27,256.841
2024-12-30,253.435
2024-12-31,251.646
2025-01-02,245.044
2025-01-03,244.552
2025-01-06,246.2
2025-01-07,243.396
2025-01-08,243.888
2025-01-10,238.01
2025-01-13,235.548
2025-01-14,234.422
2025-01-15,239.035
2025-01-16,229.378
2025-01-17,231.106
2025-01-21,220.841
