,AAPL US Equity,MSFT US Equity,portfolio_value
2024-07-25,50.0,50.0,100.0
2024-07-26,50.10805094487103,50.82098470363289,100.92903564850391
2024-07-29,50.17242172053887,50.99545889101339,101.16788061155226
2024-07-30,50.30116327187457,50.54015296367113,100.8413162355457
2024-07-31,51.05522092969792,49.99402485659657,101.04924578629448
2024-08-01,50.2000091958251,49.84584130019121,100.04585049601631
2024-08-02,50.544852636902846,48.815726577437864,99.3605792143407
2024-08-05,48.110257942893924,47.22155831739962,95.33181626029355
2024-08-06,47.641270863028176,47.75454110898662,95.3958119720148
2024-08-07,48.23670053795576,47.613527724665396,95.85022826262116
2024-08-08,49.03903627753,48.122609942638626,97.16164622016862
2024-08-09,49.71263046576854,48.52055449330784,98.23318495907638
2024-08-12,50.066669731941694,48.61496175908222,98.68163149102392
2024-08-13,50.92739896087176,49.47538240917782,100.40278137004958
2024-08-14,51.03108188882247,49.815965583174,100.84704747199646
2024-08-15,51.72145845786014,50.403919694072655,102.1253781519328
2024-08-16,52.02767943353718,50.09744263862332,102.12512207216051
2024-08-19,51.99089613315555,50.46377868068833,102.45467481384388
2024-08-20,52.13343142213434,50.85524617590822,102.98867759804256
2024-08-21,52.10814290312198,50.77623087954112,102.88437378266309
2024-08-22,51.67777828865695,49.74787284894838,101.42565113760534
2024-08-23,52.20952687479884,49.89631931166348,102.10584618646232
2024-08-26,52.28769138810979,49.50126673040153,101.78895811851132
2024-08-27,52.48333256701457,49.543164435946466,102.02649700296104
2024-08-28,52.12883350958665,49.155282026768646,101.2841155363553
2024-08-29,52.888408662467235,49.45696701720842,102.34537567967566
2024-08-30,52.706561221205575,49.93822896749522,102.6447901887008
2024-09-03,51.27270219320429,49.01641969407266,100.28912188727695
2024-09-04,50.83084279736999,48.95176864244742,99.7826114398174
2024-09-05,51.183042898524064,48.890714627151056,100.07375752567512
2024-09-06,50.82394592854844,48.08981835564053,98.91376428418897
2024-09-09,50.8446365350131,48.57106835564054,99.41570489065364
2024-09-10,50.66049013747759,49.58625717017208,100.24674730764967
2024-09-11,51.24741367419191,50.64455066921607,101.89196434340798
2024-09-12,51.27270219320429,51.11861854684513,102.39132074004942
2024-09-13,51.21063037381028,51.54839866156789,102.75902903537818
2024-09-16,49.788266127178254,51.6381931166348,101.42645924381306
2024-09-17,49.896317072049285,52.09431166347993,101.99062873552921
2024-09-18,50.79405949698837,51.574737093690246,102.36879659067861
2024-09-19,52.6766747896455,52.51810468451244,105.19477947415794
2024-09-20,52.52241482367005,52.108675908221805,104.63109073189185
2024-09-23,52.12423559703894,51.897968451242825,104.02220404828176
2024-09-24,52.33137155731298,51.37840583173997,103.70977738905295
2024-09-25,52.10124603430042,51.730365678776295,103.83161171307671
2024-09-26,52.36585590142076,51.634596080305926,104.00045198172668
2024-09-27,52.42815761644213,51.24073852772467,103.66889614416681
2024-09-30,53.62729320888317,51.51368307839389,105.14097628727706
2024-10-01,52.0644627339188,50.36321701720842,102.42767975112722
2024-10-02,52.19573313715573,49.93703393881454,102.13276707597026
2024-10-03,51.940089199503426,49.866395793499045,101.80648499300247
2024-10-04,52.20033104970343,49.80892686424475,102.00925791394818
2024-10-07,51.024185020000914,49.02838193116635,100.05256695116726
2024-10-08,51.96307876224194,49.64731118546845,101.61038994771039
2024-10-09,52.83093475562095,49.976529636711284,102.80746439233224
2024-10-10,52.71575704630098,49.78260038240918,102.49835742871016
2024-10-11,52.37298266586969,49.84005736137668,102.21304002724636
2024-10-14,53.236010851073615,50.17765296367113,103.41366381474475
2024-10-15,53.822934387787946,50.12976816443595,103.9527025522239
2024-10-16,53.346360752218494,49.81612093690249,103.162481689121
2024-10-17,53.43165202997838,49.88794216061186,103.31959419059024
2024-10-18,54.08754425490827,50.06033699808796,104.14788125299623
2024-10-21,54.42824957469309,50.13456022944551,104.5628098041386
2024-10-22,54.2854843900869,51.1796725621415,105.4651569522284
2024-10-23,53.11163731665823,50.83130975143404,103.94294706809228
2024-10-24,53.06795714745506,50.8468690248566,103.91482617231166
2024-10-25,53.26129937008598,51.256297801147234,104.5175971712332
2024-10-28,53.71925145983724,51.06953871892925,104.78879017876649
2024-10-29,53.78155317485861,51.71122131931166,105.49277449417028
2024-10-30,52.95967630695664,51.78065248565966,104.7403287926163
2024-10-31,51.99549404570325,48.64648661567878,100.64198066138204
2024-11-01,51.30488758103821,49.12774856596558,100.43263614700379
